"game_id","away_team","home_team"
21800441,"Miami Heat","New Orleans Pelicans"
21800439,"Los Angeles Lakers","Washington Wizards"
21800442,"Toronto Raptors","Denver Nuggets"
21800440,"Sacramento Kings","Dallas Mavericks"
21800438,"New York Knicks","Indiana Pacers"
21800437,"Philadelphia 76ers","Cleveland Cavaliers"
21800436,"Atlanta Hawks","Brooklyn Nets"
21800447,"Chicago Bulls","Oklahoma City Thunder"
21800446,"Sacramento Kings","Minnesota Timberwolves"
21800443,"Milwaukee Bucks","Detroit Pistons"
21800445,"Utah Jazz","Houston Rockets"
21800450,"Portland Trail Blazers","LA Clippers"
21800444,"Phoenix Suns","New York Knicks"
21800448,"Philadelphia 76ers","San Antonio Spurs"
21800449,"Memphis Grizzlies","Golden State Warriors"
21800454,"Dallas Mavericks","Denver Nuggets"
21800452,"Washington Wizards","Atlanta Hawks"
21800451,"Cleveland Cavaliers","Indiana Pacers"
21800453,"Los Angeles Lakers","Brooklyn Nets"
21800459,"Indiana Pacers","Toronto Raptors"
21800455,"Cleveland Cavaliers","Charlotte Hornets"
21800463,"Detroit Pistons","Minnesota Timberwolves"
21800466,"Oklahoma City Thunder","Sacramento Kings"
21800462,"New Orleans Pelicans","Milwaukee Bucks"
21800464,"Golden State Warriors","Utah Jazz"
21800465,"Memphis Grizzlies","Portland Trail Blazers"
21800461,"Washington Wizards","Houston Rockets"
21800456,"San Antonio Spurs","Orlando Magic"
21800458,"Phoenix Suns","Boston Celtics"
21800460,"Brooklyn Nets","Chicago Bulls"
21800457,"New York Knicks","Philadelphia 76ers"
21800467,"Houston Rockets","Miami Heat"
21800468,"Dallas Mavericks","LA Clippers"
21800470,"Cleveland Cavaliers","Toronto Raptors"
21800469,"Detroit Pistons","Charlotte Hornets"
21800477,"Memphis Grizzlies","Sacramento Kings"
21800476,"Utah Jazz","Portland Trail Blazers"
21800473,"Milwaukee Bucks","Boston Celtics"
21800471,"Indiana Pacers","Brooklyn Nets"
21800472,"Atlanta Hawks","New York Knicks"
21800474,"Orlando Magic","Chicago Bulls"
21800478,"New Orleans Pelicans","Los Angeles Lakers"
21800475,"Minnesota Timberwolves","San Antonio Spurs"
21800480,"Phoenix Suns","Washington Wizards"
21800485,"Oklahoma City Thunder","Utah Jazz"
21800482,"Milwaukee Bucks","Miami Heat"
21800483,"San Antonio Spurs","Houston Rockets"
21800479,"Denver Nuggets","LA Clippers"
21800484,"Dallas Mavericks","Golden State Warriors"
21800481,"Toronto Raptors","Philadelphia 76ers"
21800493,"Minnesota Timberwolves","Oklahoma City Thunder"
21800492,"New Orleans Pelicans","Sacramento Kings"
21800487,"Washington Wizards","Indiana Pacers"
21800495,"Dallas Mavericks","Portland Trail Blazers"
21800486,"Atlanta Hawks","Detroit Pistons"
21800490,"Chicago Bulls","Cleveland Cavaliers"
21800491,"Miami Heat","Orlando Magic"
21800489,"Phoenix Suns","Brooklyn Nets"
21800488,"Charlotte Hornets","Boston Celtics"
21800496,"Memphis Grizzlies","Los Angeles Lakers"
21800494,"LA Clippers","Golden State Warriors"
21800501,"Portland Trail Blazers","Utah Jazz"
21800498,"Oklahoma City Thunder","Houston Rockets"
21800499,"Philadelphia 76ers","Boston Celtics"
21800497,"Milwaukee Bucks","New York Knicks"
21800500,"Los Angeles Lakers","Golden State Warriors"
21800508,"Cleveland Cavaliers","Memphis Grizzlies"
21800504,"Indiana Pacers","Atlanta Hawks"
21800509,"New Orleans Pelicans","Dallas Mavericks"
21800502,"Washington Wizards","Detroit Pistons"
21800506,"Toronto Raptors","Miami Heat"
21800503,"Phoenix Suns","Orlando Magic"
21800511,"Sacramento Kings","LA Clippers"
21800505,"Charlotte Hornets","Brooklyn Nets"
21800507,"Minnesota Timberwolves","Chicago Bulls"
21800510,"Denver Nuggets","San Antonio Spurs"
21800514,"Los Angeles Lakers","Sacramento Kings"
21800513,"New York Knicks","Milwaukee Bucks"
21800515,"Philadelphia 76ers","Utah Jazz"
21800512,"Boston Celtics","Houston Rockets"
21800516,"Portland Trail Blazers","Golden State Warriors"
21800523,"Dallas Mavericks","New Orleans Pelicans"
21800520,"Chicago Bulls","Washington Wizards"
21800517,"Brooklyn Nets","Charlotte Hornets"
21800522,"Atlanta Hawks","Minnesota Timberwolves"
21800524,"San Antonio Spurs","Denver Nuggets"
21800518,"Detroit Pistons","Indiana Pacers"
21800521,"Cleveland Cavaliers","Miami Heat"
21800519,"Toronto Raptors","Orlando Magic"
21800525,"Oklahoma City Thunder","Phoenix Suns"
21800526,"LA Clippers","Los Angeles Lakers"
21800528,"Houston Rockets","New Orleans Pelicans"
21800531,"Boston Celtics","Memphis Grizzlies"
21800530,"Charlotte Hornets","Washington Wizards"
21800529,"Cleveland Cavaliers","Atlanta Hawks"
21800527,"Brooklyn Nets","Milwaukee Bucks"
21800532,"New York Knicks","Utah Jazz"
21800534,"Golden State Warriors","Portland Trail Blazers"
21800535,"San Antonio Spurs","LA Clippers"
21800533,"Denver Nuggets","Phoenix Suns"
21800538,"Chicago Bulls","Toronto Raptors"
21800539,"Oklahoma City Thunder","Dallas Mavericks"
21800540,"Philadelphia 76ers","Portland Trail Blazers"
21800537,"Minnesota Timberwolves","Miami Heat"
21800536,"Detroit Pistons","Orlando Magic"
21800541,"Sacramento Kings","Los Angeles Lakers"
21800546,"Minnesota Timberwolves","New Orleans Pelicans"
21800547,"Dallas Mavericks","Oklahoma City Thunder"
21800543,"Orlando Magic","Charlotte Hornets"
21800542,"Atlanta Hawks","Indiana Pacers"
21800544,"Memphis Grizzlies","Houston Rockets"
21800548,"Golden State Warriors","Phoenix Suns"
21800545,"Boston Celtics","San Antonio Spurs"
21800549,"Utah Jazz","Toronto Raptors"
21800551,"New York Knicks","Denver Nuggets"
21800552,"Portland Trail Blazers","Sacramento Kings"
21800550,"Detroit Pistons","Milwaukee Bucks"
21800553,"Philadelphia 76ers","LA Clippers"
21800560,"Detroit Pistons","Memphis Grizzlies"
21800554,"Dallas Mavericks","Charlotte Hornets"
21800556,"Atlanta Hawks","Washington Wizards"
21800555,"Miami Heat","Cleveland Cavaliers"
21800558,"Minnesota Timberwolves","Boston Celtics"
